"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",1.77360652785968,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",2.18483738041821,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",3.34757915603373,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",2.85172859438494,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",2.68712718157808,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",2.28847561933099,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",1.38916964974483,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",1.35886804494838,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",1.38917266963781,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",1.45789601787172,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",1.54534749597945,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.56257305663823,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",0.652228084608672,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.115636919956984,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-0.597402008382516,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",1.73313249249139,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.13646286286398,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.55209665159376,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",4.84349574384145,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",2.86255010055026,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",3.26806053925362,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",2.88980983511362,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",2.3300729863568,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",2.2588833112521,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",2.21821563047604,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",2.18772093607554,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",2.14706943097916,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.489823414133191,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-1.14420598910509,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-2.16014970320943,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-2.22536045551423,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",-2.14200577866298,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",-0.534103896226091,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",1.28317586489747,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",2.99999999999995,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",3.68620168472998,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",3.73196546716089,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",3.12758021368889,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",1.71032672520021,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",1.40731681440019,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",1.40731681440009,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",1.50842081920012,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",1.60962562559993,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.785979625257207,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-0.548994950618864,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.917812754699095,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-1.14661245255444,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",-0.148796450538307,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",1.51241241194187,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",2.98564912945323,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",3.98110477273079,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",3.66033136806296,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",3.11754772545377,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",2.36792342693436,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",1.69889716905681,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",1.51234995054319,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",1.60732184695733,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",1.73746598125743,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",1.79749401365454,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.229807229516888,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-0.193295979860731,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.233531519779697,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-0.383443478435632,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.746728167252922,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",1.15200289223886,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",2.11146800905475,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",3.07404750980074,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",2.56467424377219,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",2.64635929828344,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",2.10731971019201,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",1.65146654337966,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",1.4957857564626,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",1.60456538528001,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",1.60962562560008,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",1.60962562560009,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.53746720687841,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-0.890224990184611,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.149596320942263,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-0.468024822114284,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.988347439593337,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",3.58827967202257,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.62483551600552,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",4.4278347520203,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",3.42619912025558,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",3.15361200320551,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",2.65684602625304,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",2.31042599844473,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",2.07381249444939,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",2.003477062801,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",2.02377909035962,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",2.03941404724113,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.36322350801327,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",1.24217757162599,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",0.940833206384739,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",0.908092581262651,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",1.79709179926016,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",1.80868436551012,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",2.33801901841691,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",3.62113125677935,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",3.71174707685986,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",3.54651450526851,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",3.15115067517679,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",1.85263107580399,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",1.69060660799585,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",1.68048310310716,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",1.7311157508031,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",1.81217640080384,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.465095334967714,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-0.196471365048007,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.344478714116854,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-0.408084700298201,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.161911909738069,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",-0.0565978567843684,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",1.24647609304185,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",1.67728263232398,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",1.41894082219207,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",2.45430487620733,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",1.68409938105715,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",1.40479830658113,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",1.21277042543622,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",1.07356767335381,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",1.12450730818011,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",1.17508440922385,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",2.92168289799862,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",2.03934404928282,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",1.50713509971263,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",1.60616489413637,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",1.03325572305924,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.09848407221285,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.382397730363,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",3.75765275069529,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",4.95488760684418,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",4.51776683710249,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",3.59605556870001,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",3.23688152759997,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",2.57445336380003,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",2.44203351337995,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",2.46239972282602,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",2.52351049800863,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.645589700358608,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-0.604442280780333,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.654970668342261,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-0.728875875327204,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.468809893452274,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.29613284208131,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.4026004108591,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",5.34089531565212,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",4.6375192852118,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",3.76652657057026,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",3.03725930804825,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",1.36037842127033,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",1.34018713173113,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",1.43112050072989,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",1.51856148060366,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",1.57926622137393,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.51201035306439,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-1.35193175785522,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-1.34791225205018,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-1.30716994043606,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.562432259812831,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.87824601167051,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",5.3959583183055,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",7.42770298264187,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",7.50354174371512,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",7.10019557974339,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",5.50352859199989,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",3.95655603199978,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",3.44344371199991,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",3.23860520960005,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",3.13618595839991,
"EST","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",3.03386831360005,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.93548376771205,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-0.664348429551643,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.332613646736697,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-0.5902487292958,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",-0.10448179324436,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.32181206187893,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.67196316640012,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",5.75402709230938,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",5.97688519513684,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",5.75452750415013,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",4.55094676880003,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",3.35150952097439,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",2.99336072560464,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",2.79288703076158,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",2.62057625194521,
"LVA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",2.38596776277676,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",2.45405146720842,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",0.689455186059464,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",0.855292976452125,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",0.270030699168336,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.753203702029937,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",3.16456811412478,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",5.20104292192372,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",5.89186172093782,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",5.20135655638696,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",3.99306842775558,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",2.0042855763916,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",1.89977540102831,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",2.11958205694254,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",2.36456482234715,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",2.58472646412567,
"LTU","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",2.73992695274818,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.6339479160308,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-1.13770190574321,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.637283056524358,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-0.938139937358135,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",-0.63444795500847,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.08174709526674,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",2.21974002143786,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",3.2252240768494,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",3.27506688528165,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",3.0628270977546,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",2.49982941063902,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",2.44993899459015,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",2.59953774638302,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",2.84935585490261,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",3.09953857357633,
"SVN","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",3.32489410063637,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.09314419660373,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",0.217279268179184,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.0218019597826904,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-0.270871641336737,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",1.02981380309446,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",1.79823089044313,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",2.76077802246786,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",4.01173424905189,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",3.17195934213522,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",3.13760002072825,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",2.63666780890564,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",1.81584121057198,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",1.7398663087165,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",1.77102159531551,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",1.8079128606587,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",1.84426227582907,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",3.57418167640546,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",3.1663145484134,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",3.2394648216104,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",2.6758769417784,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",2.16711934185706,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.9385950654583,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",4.07332791007352,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",5.79999999999998,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",7.09999999999999,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",7.11420216185498,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",6.05272973451781,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",4.40902866827796,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",3.03201898437501,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",2.26881884375003,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",2.01505006249997,
"CZE","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",2.01505006249997,
"DNK","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.603683661971305,
"DNK","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",0.115645756446913,
"DNK","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",0.511954364109494,
"DNK","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",0.451631065927586,
"DNK","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.703515027615758,
"DNK","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",1.65301274187789,
"DNK","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",1.90070357440649,
"DNK","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",2.97333672701162,
"DNK","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",2.92492643309911,
"DNK","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",2.85534107322751,
"DNK","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",2.69220421675748,
